transaction_id,timestamp,store_id,item_id,price,item_name,category,quantity,customer_id_hash,discount_flag,margin_pct
T0014,2023-04-14 11:00:00,STORE_DELHI,PURI_PACK,45,Ready Puri Pack,Bakery,1,CUST014,0,0.28
T0015,2023-07-25 19:00:00,STORE_MUMBAI,VEG_BIRYANI,250,Ready Veg Biryani,Prepared,1,CUST015,0,0.32
T0015,2023-07-25 19:00:00,STORE_MUMBAI,RAITA,60,Fresh Raita 250g,Dairy,1,CUST015,0,0.25
T0015,2023-07-25 19:00:00,STORE_MUMBAI,PAPAD,55,Lijjat Papad,Snacks,1,CUST015,0,0.20
T0016,2023-09-19 10:30:00,STORE_MUMBAI,MODAK,280,Ukdiche Modak,Sweets,1,CUST016,0,0.30
T0016,2023-09-19 10:30:00,STORE_MUMBAI,COCONUT,35,Fresh Coconut,Pooja,1,CUST016,0,0.25
T0016,2023-09-19 10:30:00,STORE_MUMBAI,DURVA_GRASS,25,Durva Grass Bundle,Pooja,1,CUST016,0,0.60
T0017,2023-05-05 16:00:00,STORE_BANGALORE,MASALA_DOSA,95,Ready Masala Dosa,Prepared,2,CUST017,0,0.35
T0017,2023-05-05 16:00:00,STORE_BANGALORE,SAMBAR,75,Sambar 500ml,Prepared,1,CUST017,0,0.30
T0018,2023-12-25 12:00:00,STORE_MUMBAI,PLUM_CAKE,350,Christmas Plum Cake,Bakery,1,CUST018,0,0.35
T0018,2023-12-25 12:00:00,STORE_MUMBAI,WINE_GRAPE,450,Grape Wine 750ml,Beverages,1,CUST018,0,0.28
T0019,2023-11-14 09:00:00,STORE_DELHI,ATTA_10KG,520,Atta 10kg,Grocery,1,CUST019,0,0.12
T0019,2023-11-14 09:00:00,STORE_DELHI,SUGAR_5KG,240,Sugar 5kg,Grocery,1,CUST019,0,0.08
T0019,2023-11-14 09:00:00,STORE_DELHI,SOAN_PAPDI,320,Soan Papdi 500g,Sweets,1,CUST019,0,0.25
T0020,2023-11-14 18:00:00,STORE_MUMBAI,GOLD_COIN_CHOCO,500,Gold Coin Chocolates,Sweets,1,CUST020,1,0.30
T0020,2023-11-14 18:00:00,STORE_MUMBAI,DRY_FRUITS,550,Mixed Dry Fruits 500g,Dry Fruits,1,CUST020,0,0.28
T0020,2023-11-14 18:00:00,STORE_MUMBAI,GIFT_WRAP,80,Gift Wrapping Paper,Gifting,1,CUST020,0,0.45










